end,mean_s,std_s,max_s,last_s,slope_s,mean_h,std_h,max_h,last_h,slope_h,z_mean_s,z_max_s,z_mean_h,z_max_h,mean_ratio,max_ratio,last_ratio,label,lead_s,y_true,y_pred,y_proba
1781559968,5.193333333333333,2.3956812995239765,14.0,2.0,-0.0011118919774777223,52.36333333333334,126.40996000667387,503.0,0.0,0.002317395326098084,-0.11261317104647653,2.983879217833827,0.42286644915840216,4.128407530603642,15.821398104267452,471.9952800471995,0.0,0,,0,0,0.02
1781560028,5.14,2.3424488610568783,14.0,5.0,-0.0011410031694532512,51.18333333333333,125.47327626054702,503.0,0.0,-0.004008066689074146,-0.09596882538704188,2.9905677852798616,0.4121849427033167,4.128407530603642,15.121358256845767,471.9952800471995,0.0,0,,0,0,0.105
1781560088,5.128333333333333,2.351282746833216,14.0,9.0,-0.0003265842405117836,50.945,126.14909951455591,503.0,0.0,-3.05834182872905e-05,-0.06052816797162766,2.9905677852798616,0.40943874010211384,4.128407530603642,14.819331464526925,471.9952800471995,0.0,0,,0,0,0.095
1781560148,5.073333333333333,2.3589451503208423,14.0,3.0,-0.0006447795688321352,50.625,126.52535072071525,503.0,0.0,-0.0076238822885619515,-0.045728218727251656,3.865528667846517,0.40588288872918166,4.128407530603642,14.643360217987999,471.9952800471995,0.0,0,,0,0,0.06
1781560208,5.091666666666667,2.3209043974757386,14.0,4.0,0.0001501948616523934,51.21333333333333,127.13722699858171,503.0,0.0,-0.014193483870788585,0.0015664434936650106,3.865528667846517,0.40911790889268607,4.128407530603642,14.729276088871496,471.9952800471995,0.0,0,,0,0,0.045
1781560268,4.986666666666666,2.3028581275353366,14.0,7.0,-0.000277334103705847,50.735,125.46766426055757,494.0,298.0,-0.012048116800324495,-0.0055064661668322605,3.865528667846517,0.40428880485127305,3.982004783829266,15.002625735071506,471.9952800471995,42.57136775518892,0,,0,0,0.05
1781560328,4.991666666666666,2.2726483572157736,14.0,6.0,-0.0005096403045564015,49.01166666666666,123.24898186417425,473.0,0.0,-0.003047202908896956,-0.003998334608470565,3.865528667846517,0.3903772447992989,3.7788312410183416,12.897800186667068,471.9952800471995,0.0,0,,0,0,0.005
1781560388,4.963333333333333,2.26686028584815,14.0,5.0,-0.0005451126253128467,50.22666666666667,125.57823042054524,473.0,0.0,-0.0060874057983494306,-0.01587011205122688,3.865528667846517,0.4004277290008208,3.7788312410183416,13.055951229296705,471.9952800471995,0.0,0,,0,0,0.0
1781560448,4.87,2.270044052435987,14.0,9.0,-0.001073947427631743,50.32333333333333,127.3316226324876,473.0,403.0,-0.001066391851088446,-0.0564855341567468,3.865528667846517,0.4010927902393094,3.7788312410183416,56180.30170371864,33700000.0,44.777728024746644,0,,0,0,0.04
1781560508,4.805,2.2211802418234017,14.0,5.0,-0.0014075316875880207,49.138333333333335,127.1409422539499,473.0,0.0,-0.0005649182358840069,-0.08548497192972096,3.865528667846517,0.39127770029127,3.7778118726581966,56178.73342025291,33700000.0,0.0,0,,0,0,0.03
1781560568,4.78,2.271915491386068,15.0,6.0,-0.0013413926149794893,48.91166666666667,126.96322511087828,472.0,0.0,0.009343720399223363,-0.09693883711718411,4.494430815192839,0.38908722483079844,3.7778118726581966,56179.19670131806,33700000.0,0.0,0,,0,0,0.035
1781560628,4.783333333333333,2.290499702879022,15.0,7.0,-0.0011241142336506516,49.39666666666667,126.84860788444713,472.0,448.0,0.001601448892913595,-0.09560467006167565,4.494430815192839,0.39281037914491007,3.7778118726581966,56179.20729191095,33700000.0,63.99990857155919,0,,0,0,0.035
1781560688,4.691666666666666,2.231575800988072,15.0,4.0,-0.000575307153630976,48.75,125.65975555708624,472.0,0.0,0.0005667793521647913,-0.13547870986777785,4.494430815192839,0.38758104155004675,3.7778118726581966,56179.296554032306,33700000.0,0.0,0,,0,0,0.0
1781560748,4.651666666666666,2.1603234068588484,15.0,4.0,-0.0010324195344987082,49.568333333333335,127.14961789386375,485.0,0.0,0.0016263656287933846,-0.13029444579170898,4.494430815192839,0.39410914664514557,3.848608053399443,56179.730643708805,33700000.0,0.0,0,,0,0,0.045
1781560808,4.49,2.1486197119701447,15.0,4.0,-0.0006802796674435276,49.275,126.07853124805456,485.0,0.0,0.0009260303500843319,-0.15700139980919153,4.494430815192839,0.391794996155409,3.848608053399443,56180.472655521706,33700000.0,0.0,0,,0,0,0.02
1781560868,4.523333333333333,2.137628488665782,15.0,6.0,-0.0007686132461479081,50.15833333333333,126.77293322007749,485.0,0.0,0.00751454865152404,-0.09735331843177014,4.494430815192839,0.39859733582792245,3.848608053399443,56180.73670461707,33700000.0,0.0,0,,0,0,0.025
1781560928,4.4383333333333335,2.099888224538524,15.0,4.0,-0.0007775299375831645,51.00833333333333,127.53553072466599,485.0,0.0,0.005476987436076199,-0.09060034054871674,4.494430815192839,0.40436579021827684,3.848608053399443,56181.37459576674,33700000.0,0.0,0,,0,0,0.135
1781560988,4.326666666666667,2.0379619449069426,15.0,3.0,-0.0009596137767049341,50.75,125.5740584940483,485.0,0.0,0.009899416387267755,-0.09709373997004221,4.494430815192839,0.4014998984005727,3.848608053399443,56181.79109010153,33700000.0,0.0,0,,0,0,0.065
1781561048,4.316666666666666,2.0132201954966464,15.0,4.0,-0.0013429481748560425,49.73166666666667,124.55804402187583,485.0,0.0,0.0041231503420843295,-0.05705904882184138,4.494430815192839,0.3932892862463936,3.848608053399443,14.548521299624262,429.99570004299954,0.0,0,,0,0,0.05
