start,end,mean,std,max,last,slope,label,lead_s,y_true,y_pred,y_proba
1780804081.0,1780804681.0,8.356666666666667,3.134664610803239,22.0,6.0,0.0059331831477309645,0,,0,0,0.005990929897553012
1781482261.0,1781482861.0,3.7716666666666665,1.8902020762047873,11.0,6.0,0.0010827530076472412,0,,0,0,0.08764731771196309
1781555821.0,1781556421.0,10.471666666666666,4.252355882984814,27.0,13.0,-0.0027157575437709532,0,,0,0,0.0032540539192740343
1781264461.0,1781265061.0,3.558333333333333,1.8284594304738864,12.0,3.0,-0.000635696210267245,0,,0,0,0.05507143085827296
1781321401.0,1781322001.0,4.046666666666667,1.9547776230445126,12.0,3.0,-0.0014897819160608805,0,,0,0,0.053568356435975524
1781272741.0,1781273341.0,4.483333333333333,2.154775059154796,13.0,6.0,-0.001206225572848815,0,,0,0,0.05512395725837672
1780911361.0,1780911961.0,8.486666666666666,2.9568827429500066,20.0,5.0,-0.0012244478456884557,0,,0,0,0.008546712029318051
1780900261.0,1780900861.0,18.778333333333332,7.81574461512714,41.0,30.0,0.03362878785774405,0,,0,0,0.0003993488899346177
1781086261.0,1781086861.0,4.635,2.1813852632367965,11.0,6.0,0.0008035855655154652,0,,0,0,0.0834005431822075
1781358841.0,1781359441.0,25.286666666666665,5.413054179994466,43.0,19.0,-0.011624754513207027,0,,0,0,7.029143423552688e-05
1781490601.0,1781491201.0,7.105,3.0156218264232004,19.0,14.0,0.00742743729843694,0,,0,0,0.026563705968723497
1781163661.0,1781164261.0,13.645,3.832184972919061,27.0,11.0,-0.004757207658910167,0,,0,0,0.002332565771955389
1781561101.0,1781561701.0,3.88,1.9711925324533874,11.0,6.0,-4.077789104969519e-05,0,,0,0,0.08696966451268477
1781591821.0,1781592421.0,3.62,1.94908525553228,11.0,3.0,-0.0013949483193008902,0,,0,0,0.06763369485349927
1781348281.0,1781348881.0,4.318333333333333,1.9740813616014468,11.0,3.0,0.0009450859585721131,0,,0,0,0.06540277917025582
1780939561.0,1780940161.0,14.173333333333334,5.927896385359275,36.0,16.0,0.021096503045841795,0,,0,0,0.00044093600647352073
1781530201.0,1781530801.0,7.458333333333333,2.6885430792324847,19.0,7.0,0.00016936158155994366,0,,0,0,0.013727427148439051
1781290261.0,1781290861.0,11.573333333333334,3.9018741935411274,25.0,19.0,0.010961752671535206,0,,0,0,0.008655616745476586
1780708681.0,1780709281.0,22.65,4.912314457904068,39.0,18.0,-0.009424026177850488,0,,0,0,0.00018389058377579762
1781215141.0,1781215741.0,13.351666666666667,3.5220255377962393,24.0,13.0,-0.0012389756638212942,0,,0,0,0.005700232051372256
1780838821.0,1780839421.0,22.838333333333335,6.979173582086126,46.0,23.0,0.005302042505673611,0,,0,0,5.55861995394867e-05
1781504941.0,1781505541.0,5.13,2.366382612061428,14.0,3.0,-0.0025650071250197877,0,,0,0,0.03246128207548252
1781649481.0,1781650081.0,3.1033333333333335,1.8857329845152757,12.0,7.0,0.0006135572598812769,0,,0,0,0.08016096557150743
1781620501.0,1781621101.0,8.59,2.8487248609392473,20.0,12.0,-8.327800910558822e-05,0,,0,0,0.016516828589616814
1781533201.0,1781533801.0,9.49,3.7210975083524307,26.0,4.0,-0.008912691424142843,0,,0,0,0.0018558968113841475
1781252521.0,1781253121.0,4.264423076923077,2.0760270057728594,12.0,3.0,-5.5341302480887015e-05,0,,0,0,0.05278725096213367
1781344261.0,1781344861.0,6.8966666666666665,3.009317013690796,16.0,5.0,-0.008204022788952199,0,,0,0,0.02253601325225395
1780840741.0,1780841341.0,41.13666666666666,12.925478284724665,85.0,32.0,-0.06364606568351582,0,,0,0,6.093972336119575e-09
1781292841.0,1781293441.0,41.93833333333333,6.495475134447227,70.0,40.0,-0.004627762854896863,0,,0,0,4.795189990027812e-07
1780937821.0,1780938421.0,10.773333333333333,3.3354593220258115,24.0,9.0,-3.2944535957054984e-05,0,,0,0,0.004465135101598499
1781488321.0,1781488921.0,8.27,4.198067015504477,22.0,11.0,0.017015769488248577,1,347.0,1,0,0.009281324335020583
1781220481.0,1781221081.0,4.743333333333333,2.1285649834780447,12.0,3.0,0.0007857799604998896,0,,0,0,0.05150290971839761
1781364181.0,1781364781.0,6.931666666666667,2.6414006175175744,20.0,8.0,2.8305634182318823e-05,0,,0,0,0.012401376213289659
1781607961.0,1781608561.0,6.673333333333333,2.6229669375643216,16.0,4.0,-0.0016403378898274723,0,,0,0,0.021053629125669982
1780921861.0,1780922461.0,16.511666666666667,6.372063811844812,41.0,27.0,0.02154492095811377,0,,0,0,0.00035495505068463813
1781536861.0,1781537461.0,5.855,2.427751016887852,13.0,6.0,-0.0018299773054925139,1,80.0,1,0,0.0511468603175885
1781166181.0,1781166781.0,182.42333333333335,149.51141803294564,507.0,102.0,0.38376562157117106,0,,0,0,6.949918903173107e-53
1781322421.0,1781323021.0,3.966666666666667,2.0604745947367453,13.0,6.0,0.0008707246409017747,0,,0,0,0.05667895443400814
1780727521.0,1780728121.0,47.87833333333333,12.231797246884405,82.0,32.0,-0.05585584959958225,0,,0,0,8.806792169199457e-09
1780895461.0,1780896061.0,63.99333333333333,48.07774906914378,209.0,11.0,-0.25413459481831896,0,,0,0,4.3463534519396757e-23
1780704961.0,1780705561.0,13.073333333333334,3.6085023055124807,26.0,18.0,-8.988913858094093e-05,0,,0,0,0.005900431854136812
1780956001.0,1780956601.0,6.916666666666667,2.810051403246725,17.0,6.0,0.0013426703963066524,0,,0,0,0.019949877152269632
1780864321.0,1780864921.0,7.718333333333334,2.8604773300195117,19.0,3.0,-0.0034537040380667795,0,,0,0,0.009232108506555025
1781615221.0,1781615821.0,5.753333333333333,2.5656361567628583,14.0,8.0,0.003975011041697336,0,,0,0,0.049435994990366744
1781159701.0,1781160301.0,7.785,4.733438672536771,31.0,14.0,0.01577707160297667,0,,0,0,0.0016276804785057208
1781501581.0,1781502181.0,4.538333333333333,2.257992594220706,13.0,3.0,-0.0024265900738613204,0,,0,0,0.04170959366794325
1780913581.0,1780914181.0,10.731666666666667,3.563191063577079,21.0,15.0,0.006891880255222925,0,,0,0,0.015346504192010965
1781384521.0,1781385121.0,3.223333333333333,1.8129503271984284,9.0,1.0,-0.0007635021208392225,0,,0,0,0.0881557096623703
1781233501.0,1781234101.0,10.953333333333333,3.454632960082574,23.0,6.0,-0.003389731638143462,0,,0,0,0.004150904644577932
1781080201.0,1781080801.0,5.738333333333333,2.378346180764179,14.0,4.0,0.0036394823318953626,0,,0,0,0.034549262881885416
1780739581.0,1780740181.0,11.211666666666666,3.4713393988808154,23.0,9.0,0.001495976377712162,0,,0,0,0.005445152968391718
1781596021.0,1781596621.0,4.726666666666667,2.2432020763978344,13.0,4.0,0.002671674087983575,0,,0,0,0.04530971603937795
1781329681.0,1781330281.0,5.961666666666667,2.6051610101659533,16.0,5.0,0.005090375251042368,0,,0,0,0.02394758267535948
1781139481.0,1781140081.0,137.66333333333333,17.253405138954133,192.0,93.0,-0.07231058975163819,0,,0,0,4.1179658339895053e-19
1781450401.0,1781451001.0,4.216666666666667,2.0007637430630227,14.0,5.0,0.0012625035069541875,0,,0,0,0.04131986333932534
1781283121.0,1781283721.0,13.281666666666666,3.4451411033834622,24.0,11.0,-0.0003951399864999832,0,,0,0,0.004744784340677945
1781143081.0,1781143681.0,39.8,6.461423991660043,63.0,39.0,-0.010961474892985809,0,,0,0,2.371983265731846e-06
1780845301.0,1780845901.0,10.856666666666667,3.2750759109098864,21.0,6.0,-0.004745624293400807,0,,0,0,0.006590292825924397
1781152021.0,1781152621.0,8.223333333333333,3.008342105250369,21.0,9.0,0.0005280014666707412,0,,0,0,0.01007851211812019
1781077741.0,1781078341.0,5.735,2.369551645354032,13.0,2.0,-0.002453256814602266,0,,0,0,0.03577659545423256
1781443501.0,1781444101.0,4.585,2.098279056751032,11.0,2.0,-0.000868141300392506,0,,0,0,0.05879783549114044
1781539021.0,1781539621.0,6.306666666666667,2.4804479882114485,14.0,3.0,-0.0011567254353484302,0,,0,0,0.030531623263023278
1781065381.0,1781065981.0,7.8966666666666665,2.9759013573855047,16.0,10.0,-0.006282517451437365,0,,0,0,0.034173000084077615
1781479501.0,1781480101.0,3.2183333333333333,1.7918325504602512,10.0,7.0,0.0015791988311078587,0,,0,0,0.12033155252010642
1781324821.0,1781325421.0,4.825,2.2407680974761015,12.0,3.0,0.0019903110841974557,0,,0,0,0.05109639517953353
1780713781.0,1780714381.0,11.765,3.5543084184315425,26.0,10.0,-0.0049089858582940455,0,,0,0,0.0029511327180604965
1781591521.0,1781592121.0,3.62,1.9821537108239948,11.0,3.0,0.0010833363426009492,0,,0,0,0.06755459624390125
1781606161.0,1781606761.0,5.433333333333334,2.3577296047021354,14.0,5.0,0.0022196172767146548,0,,0,0,0.038467196113761426
1781635081.0,1781635681.0,3.716666666666667,1.9949241144019043,10.0,5.0,-0.0028222856174600548,0,,0,0,0.09860476150093164
1781232661.0,1781233261.0,19.701666666666668,5.297420493871417,40.0,9.0,-0.015625626737852057,0,,0,0,7.0963595596692e-05
1781650201.0,1781650801.0,5.183333333333334,2.6412854614541175,18.0,3.0,-0.005388126078127998,0,,0,0,0.013203970433144257
1781417521.0,1781418121.0,3.74,1.8607525359380812,11.0,4.0,-0.0012336700935280346,0,,0,0,0.07372353201732083
1781171221.0,1781171821.0,6.526666666666666,2.6228398519331844,15.0,5.0,-0.0012335034263984037,0,,0,0,0.029026316416582848
1781482021.0,1781482621.0,3.9116666666666666,1.9580255077217172,13.0,6.0,-0.001229808971691589,0,,0,0,0.057035343043164856
1781350981.0,1781351581.0,6.01,2.4296570402699498,15.0,3.0,-0.002514895874710755,0,,0,0,0.02489871393973717
1781122381.0,1781122981.0,4.401666666666666,2.1166791338215516,11.0,1.0,0.00025286181350503255,0,,0,0,0.054167119710531966
1781150281.0,1781150881.0,10.28,3.4285468253085494,23.0,5.0,-0.003906288628579509,0,,0,0,0.003907382050331003
1781285041.0,1781285641.0,13.726666666666667,3.7321069414236003,25.0,14.0,0.002571562698785275,0,,0,0,0.004871828311586451
1781263741.0,1781264341.0,3.195,1.6941984338717038,10.0,1.0,-0.00048730690918586273,0,,0,0,0.07195998889738724
1781197441.0,1781198041.0,11.073333333333334,4.882412882536211,29.0,22.0,0.017090436362323227,0,,0,0,0.004619216126038542
